Function	Enzyme_EC	KO	gene	gene2	gene3
 ATP-binding cassette, subfamily C (CFTR/MRP), member 4		K05673	ABCC4		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 4		K05673	ABCC4		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 4		K05673	ABCC4		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 5		K05668	ABCC5		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 5		K05668	ABCC5		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 5		K05668	ABCC5		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 6		K05669	ABCC6		
 ATP-binding cassette, subfamily C (CFTR/MRP), member 6		K05669	ABCC6		
 ATP-binding cassette subfamily C (CFTR/MRP) member 8		K05032	ABCC8	SUR1	
 ATP-binding cassette subfamily C (CFTR/MRP) member 8		K05032	ABCC8	SUR1	
 ATP-binding cassette subfamily C (CFTR/MRP) member 8		K05032	ABCC8	SUR1	
 ATP-binding cassette subfamily C (CFTR/MRP) member 8		K05032	ABCC8	SUR1	
 ATP-binding cassette subfamily C (CFTR/MRP) member 9		K05033	ABCC9	SUR2	
 ATP-binding cassette subfamily C (CFTR/MRP) member 9		K05033	ABCC9	SUR2	
 ATP-binding cassette subfamily C (CFTR/MRP) member 9		K05033	ABCC9	SUR2	
 ATP-binding cassette, subfamily D (ALD), member 1		K05675	ABCD1	ALD	
 ATP-binding cassette, subfamily D (ALD), member 1		K05675	ABCD1	ALD	
 ATP-binding cassette, subfamily D (ALD), member 1		K05675	ABCD1	ALD	
 ATP-binding cassette, subfamily D (ALD), member 2		K05676	ABCD2	ALDL1	
 ATP-binding cassette, subfamily D (ALD), member 2		K05676	ABCD2	ALDL1	
 ATP-binding cassette, subfamily D (ALD), member 2		K05676	ABCD2	ALDL1	
 ATP-binding cassette, subfamily D (ALD), member 3		K05677	ABCD3	PMP70	
 ATP-binding cassette, subfamily D (ALD), member 3		K05677	ABCD3	PMP70	
 ATP-binding cassette, subfamily D (ALD), member 3		K05677	ABCD3	PMP70	
 ATP-binding cassette, subfamily D (ALD), member 4		K05678	ABCD4	PXMP1L	
 ATP-binding cassette, subfamily D (ALD), member 4		K05678	ABCD4	PXMP1L	
 ATP-binding cassette, subfamily D (ALD), member 4		K05678	ABCD4	PXMP1L	
 ATP-binding cassette, sub-family E, member 1		K06174	ABCE1	Rli1	
 ATP-binding cassette, subfamily F, member 1		K06184	ABCF1		
 ATP-binding cassette, subfamily F, member 2		K06185	ABCF2		
 ATP-binding cassette, subfamily F, member 3		K06158	ABCF3		
 ATP-binding cassette, subfamily G (WHITE), member 1		K05679	ABCG1		
 ATP-binding cassette, subfamily G (WHITE), member 1		K05679	ABCG1		
 ATP-binding cassette, subfamily G (WHITE), member 2		K05681	ABCG2	CD338	
 ATP-binding cassette, subfamily G (WHITE), member 2		K05681	ABCG2	CD338	
 ATP-binding cassette, subfamily G (WHITE), member 2		K05681	ABCG2	CD338	
 ATP-binding cassette, subfamily G (WHITE), member 2		K05681	ABCG2	CD338	
 ATP-binding cassette, subfamily G (WHITE), member 2		K05681	ABCG2	CD338	
 ATP-binding cassette, subfamily G (WHITE), member 2		K05681	ABCG2	CD338	oforA
 ATP-binding cassette, subfamily G (WHITE), member 2, PDR		K08711	ABCG2.PDR	CDR1	oforA
 ATP-binding cassette, subfamily G (WHITE), member 2, PDR		K08711	ABCG2.PDR	CDR1	oforA
 ATP-binding cassette, subfamily G (WHITE), member 2, SNQ2		K08712	ABCG2.SNQ2		oforA
 ATP-binding cassette, subfamily G (WHITE), member 2, SNQ2		K08712	ABCG2.SNQ2		oforA
 ATP-binding cassette, subfamily G (WHITE), member 3		K05682	ABCG3	Mxr2	oforB
 ATP-binding cassette, subfamily G (WHITE), member 3		K05682	ABCG3	Mxr2	oforB
 ATP-binding cassette, subfamily G (WHITE), member 4		K05680	ABCG4		oforB
 ATP-binding cassette, subfamily G (WHITE), member 4		K05680	ABCG4		oforB
 ATP-binding cassette, subfamily G (WHITE), member 5 (sterolin 1)		K05683	ABCG5		oforB
 ATP-binding cassette, subfamily G (WHITE), member 5 (sterolin 1)		K05683	ABCG5		
 ATP-binding cassette, subfamily G (WHITE), member 5 (sterolin 1)		K05683	ABCG5		
 ATP-binding cassette, subfamily G (WHITE), member 5 (sterolin 1)		K05683	ABCG5		
 ATP-binding cassette, subfamily G (WHITE), member 5 (sterolin 1)		K05683	ABCG5		
 ATP-binding cassette, subfamily G (WHITE), member 8 (sterolin 2)		K05684	ABCG8		
 ATP-binding cassette, subfamily G (WHITE), member 8 (sterolin 2)		K05684	ABCG8		
 ATP-binding cassette, subfamily G (WHITE), member 8 (sterolin 2)		K05684	ABCG8		
 ATP-binding cassette, subfamily G (WHITE), member 8 (sterolin 2)		K05684	ABCG8		
 ATP-binding cassette, subfamily G (WHITE), member 8 (sterolin 2)		K05684	ABCG8		
 homeobox protein abdominal-B and related proteins		K09300	ABDB		
 ABA responsive element binding factor		K14432	ABF		
 ABA responsive element binding factor		K14432	ABF		
 non-reducing end alpha-L-arabinofuranosidase 	3.2.1.55	K20844	abf1		
 ARS-binding factor 1		K09249	ABF1	BAF1	
 alpha-N-arabinofuranosidase 	3.2.1.55	K01209	abfA		
 4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase 	4.2.1.120 5.3.3.3	K14534	abfD		
 4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase 	4.2.1.120 5.3.3.3	K14534	abfD		
 aminobenzoyl-glutamate utilization protein A		K12940	abgA		
 aminobenzoyl-glutamate utilization protein B		K12941	abgB		
 LysR family transcriptional regulator, regulator of abg operon		K14057	abgR		
 aminobenzoyl-glutamate transport protein		K12942	abgT		
 abhydrolase domain-containing protein 1/3		K13696	ABHD1_3		
 abhydrolase domain-containing protein 10 	3.1.1.93	K13702	ABHD10		
 abhydrolase domain-containing protein 11		K13703	ABHD11		
 abhydrolase domain-containing protein 12 	3.1.1.23	K13704	ABHD12		
 abhydrolase domain-containing protein 12 	3.1.1.23	K13704	ABHD12		
 abhydrolase domain-containing protein 12B		K13705	ABHD12B		
 abhydrolase domain-containing protein 14		K13706	ABHD14		
 abhydrolase domain-containing protein 15		K13707	ABHD15		
 abhydrolase domain-containing protein 17 	3.1.2.22	K01076	ABHD17		
 abhydrolase domain-containing protein 17 	3.1.2.22	K01076	ABHD17		
 abhydrolase domain-containing protein 17 	3.1.2.22	K01076	ABHD17		
 abhydrolase domain-containing protein 2		K13697	ABHD2		
 abhydrolase domain-containing protein 4		K13698	ABHD4		
 abhydrolase domain-containing protein 5 	2.3.1.51	K13699	ABHD5	CGI-58	
 abhydrolase domain-containing protein 5 	2.3.1.51	K13699	ABHD5	CGI-58	
 abhydrolase domain-containing protein 5 	2.3.1.51	K13699	ABHD5	CGI-58	
 abhydrolase domain-containing protein 6 	3.1.1.23	K13700	ABHD6		
 abhydrolase domain-containing protein 6 	3.1.1.23	K13700	ABHD6		
 abhydrolase domain-containing protein 8		K13701	ABHD8		
 abl interactor 2		K05751	ABI2		
 protein AbiQ		K19167	abiQ		
 abelson tyrosine-protein kinase 1 	2.7.10.2	K06619	ABL1		
 abelson tyrosine-protein kinase 1 	2.7.10.2	K06619	ABL1		
 abelson tyrosine-protein kinase 1 	2.7.10.2	K06619	ABL1		
 abelson tyrosine-protein kinase 1 	2.7.10.2	K06619	ABL1		
 abelson tyrosine-protein kinase 1 	2.7.10.2	K06619	ABL1		
 abelson tyrosine-protein kinase 1 	2.7.10.2	K06619	ABL1		
 abelson tyrosine-protein kinase 1 	2.7.10.2	K06619	ABL1		
 abelson tyrosine-protein kinase 1 	2.7.10.2	K06619	ABL1		
 abelson tyrosine-protein kinase 1 	2.7.10.2	K06619	ABL1		
 abelson tyrosine-protein kinase 1 	2.7.10.2	K06619	ABL1		
 abelson tyrosine-protein kinase 1 	2.7.10.2	K06619	ABL1		
 abelson tyrosine-protein kinase 1 	2.7.10.2	K06619	ABL1		
 abelson tyrosine-protein kinase 2 	2.7.10.2	K08887	ABL2		
 abelson tyrosine-protein kinase 2 	2.7.10.2	K08887	ABL2		
 abelson tyrosine-protein kinase 2 	2.7.10.2	K08887	ABL2		
 abelson tyrosine-protein kinase 2 	2.7.10.2	K08887	ABL2		
 beta-lysine N6-acetyltransferase 	2.3.1.264	K21935	ablB		
 actin-binding LIM protein		K07520	ABLIM		
 2-aminobenzoate-CoA ligase 	6.2.1.32	K08295	abmG		
 arabinan endo-1,5-alpha-L-arabinosidase 	3.2.1.99	K06113	abnA		
 histo-blood group ABO system transferase 	2.4.1.40 2.4.1.37	K00709	ABO		
 histo-blood group ABO system transferase 	2.4.1.40 2.4.1.37	K00709	ABO		
 tRNAThr (cytosine32-N3)-methyltransferase 	2.1.1.268	K17053	ABP140		
 active breakpoint cluster region-related protein		K20629	ABR		
 transcriptional pleiotropic regulator of transition state genes		K06284	abrB		
 cis-abienol synthase 	4.2.3.140	K20517	ABS		
 2-aminobenzenesulfonate 2,3-dioxygenase subunit alpha 	1.14.12.14	K15766	absAa		
 2-aminobenzenesulfonate 2,3-dioxygenase subunit alpha 	1.14.12.14	K15766	absAa		
 2-aminobenzenesulfonate 2,3-dioxygenase subunit beta 	1.14.12.14	K15767	absAb		
 2-aminobenzenesulfonate 2,3-dioxygenase subunit beta 	1.14.12.14	K15767	absAb		
 ankyrin repeat and BTB/POZ domain-containing protein 1		K10520	ABTB1	BPOZ	
 ankyrin repeat and BTB/POZ domain-containing protein 2		K10521	ABTB2		
 acetyl-CoA acyltransferase 1 	2.3.1.16	K07513	ACAA1		
 acetyl-CoA acyltransferase 1 	2.3.1.16	K07513	ACAA1		
 acetyl-CoA acyltransferase 1 	2.3.1.16	K07513	ACAA1		
 acetyl-CoA acyltransferase 1 	2.3.1.16	K07513	ACAA1		
 acetyl-CoA acyltransferase 1 	2.3.1.16	K07513	ACAA1		
 acetyl-CoA acyltransferase 1 	2.3.1.16	K07513	ACAA1		
 acetyl-CoA acyltransferase 2 	2.3.1.16	K07508	ACAA2		
 acetyl-CoA acyltransferase 2 	2.3.1.16	K07508	ACAA2		
 acetyl-CoA acyltransferase 2 	2.3.1.16	K07508	ACAA2		
 acetyl-CoA carboxylase / biotin carboxylase 1 	6.4.1.2 6.3.4.14 2.1.3.15	K11262	ACACA		
 acetyl-CoA carboxylase / biotin carboxylase 1 	6.4.1.2 6.3.4.14 2.1.3.15	K11262	ACACA		
 acetyl-CoA carboxylase / biotin carboxylase 1 	6.4.1.2 6.3.4.14 2.1.3.15	K11262	ACACA		
 acetyl-CoA carboxylase / biotin carboxylase 1 	6.4.1.2 6.3.4.14 2.1.3.15	K11262	ACACA		ACOX3
 acetyl-CoA carboxylase / biotin carboxylase 1 	6.4.1.2 6.3.4.14 2.1.3.15	K11262	ACACA		ACOX3
 acetyl-CoA carboxylase / biotin carboxylase 1 	6.4.1.2 6.3.4.14 2.1.3.15	K11262	ACACA		ACOX3
 acetyl-CoA carboxylase / biotin carboxylase 1 	6.4.1.2 6.3.4.14 2.1.3.15	K11262	ACACA		ACOX3
 acetyl-CoA carboxylase / biotin carboxylase 2 	6.4.1.2 6.3.4.14 2.1.3.15	K01946	ACACB		ACOX3
 acetyl-CoA carboxylase / biotin carboxylase 2 	6.4.1.2 6.3.4.14 2.1.3.15	K01946	ACACB		ACOX3
 acetyl-CoA carboxylase / biotin carboxylase 2 	6.4.1.2 6.3.4.14 2.1.3.15	K01946	ACACB		
 acetyl-CoA carboxylase / biotin carboxylase 2 	6.4.1.2 6.3.4.14 2.1.3.15	K01946	ACACB		
 acetyl-CoA carboxylase / biotin carboxylase 2 	6.4.1.2 6.3.4.14 2.1.3.15	K01946	ACACB		
 acetyl-CoA carboxylase / biotin carboxylase 2 	6.4.1.2 6.3.4.14 2.1.3.15	K01946	ACACB		
 acetyl-CoA carboxylase / biotin carboxylase 2 	6.4.1.2 6.3.4.14 2.1.3.15	K01946	ACACB		
 acetyl-CoA carboxylase / biotin carboxylase 2 	6.4.1.2 6.3.4.14 2.1.3.15	K01946	ACACB		
 acetyl-CoA carboxylase / biotin carboxylase 2 	6.4.1.2 6.3.4.14 2.1.3.15	K01946	ACACB		
 acyl-CoA dehydrogenase family member 10		K11729	ACAD10		
 acyl-CoA dehydrogenase family member 11		K11730	ACAD11		
 isobutyryl-CoA dehydrogenase 	1.3.99.-	K11538	ACAD8		
 acyl-CoA dehydrogenase family member 9 	1.3.99.-	K15980	ACAD9		
 long-chain-acyl-CoA dehydrogenase 	1.3.8.8	K00255	ACADL		
 long-chain-acyl-CoA dehydrogenase 	1.3.8.8	K00255	ACADL		
 acyl-CoA dehydrogenase 	1.3.8.7	K00249	ACADM	acd	
 acyl-CoA dehydrogenase 	1.3.8.7	K00249	ACADM	acd	
 acyl-CoA dehydrogenase 	1.3.8.7	K00249	ACADM	acd	
 acyl-CoA dehydrogenase 	1.3.8.7	K00249	ACADM	acd	
 acyl-CoA dehydrogenase 	1.3.8.7	K00249	ACADM	acd	
 butyryl-CoA dehydrogenase 	1.3.8.1	K00248	ACADS	bcd	
 butyryl-CoA dehydrogenase 	1.3.8.1	K00248	ACADS	bcd	
 butyryl-CoA dehydrogenase 	1.3.8.1	K00248	ACADS	bcd	
 short/branched chain acyl-CoA dehydrogenase 	1.3.99.12	K09478	ACADSB		
 short/branched chain acyl-CoA dehydrogenase 	1.3.99.12	K09478	ACADSB		
 very long chain acyl-CoA dehydrogenase 	1.3.8.9	K09479	ACADVL		
 Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein		K12489	ACAP		
 Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein		K12489	ACAP		
 Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein		K12489	ACAP		
 MFS transporter, PAT family, solute carrier family 33 (acetyl-CoA transportor), member 1 	2.3.1.-	K03372	ACATN	SLC33A1	
 MFS transporter, PAT family, solute carrier family 33 (acetyl-CoA transportor), member 1 	2.3.1.-	K03372	ACATN	SLC33A1	
 2-epi-5-epi-valiolone synthase 	4.2.3.152	K19969	acbC	salQ	
 acarbose 7IV-phosphotransferase 	2.7.1.187	K19978	acbK		
 2-epi-valiolone-7-phosphate 1-reductase 	1.1.1.-	K20424	acbL		
 2-epi-5-epi-valiolone 7-kinase 	2.7.1.188	K19979	acbM		
 cyclitol oxidoreductase		K20425	acbN		
 2-epi-5-epi-valiolone 7-phosphate 2-epimerase 	5.1.3.35	K19974	acbO		
 valienol-1-phosphate guanylyltransferase 	2.7.7.91	K20427	acbR	vldB	
 glycosyltransferase AcbS 	2.4.-.-	K20430	acbS		
 1-epi-valienol-7-phosphate kinase 	2.7.-.-	K20426	acbU		
 dTDP-4-amino-4,6-dideoxy-D-glucose transaminase 	2.6.1.33	K20428	acbV		
 acetyl-CoA carboxylase carboxyl transferase subunit alpha 	6.4.1.2 2.1.3.15	K01962	accA		
 acetyl-CoA carboxylase carboxyl transferase subunit alpha 	6.4.1.2 2.1.3.15	K01962	accA		
 acetyl-CoA carboxylase carboxyl transferase subunit alpha 	6.4.1.2 2.1.3.15	K01962	accA		
 acetyl-CoA carboxylase carboxyl transferase subunit alpha 	6.4.1.2 2.1.3.15	K01962	accA		
 acetyl-CoA carboxylase biotin carboxyl carrier protein		K02160	accB	bccP	
 acetyl-CoA carboxylase biotin carboxyl carrier protein		K02160	accB	bccP	
 acetyl-CoA carboxylase biotin carboxyl carrier protein		K02160	accB	bccP	
 acetyl-CoA carboxylase biotin carboxyl carrier protein		K02160	accB	bccP	
 acetyl-CoA carboxylase, biotin carboxylase subunit 	6.4.1.2 6.3.4.14	K01961	accC		
 acetyl-CoA carboxylase, biotin carboxylase subunit 	6.4.1.2 6.3.4.14	K01961	accC		
 acetyl-CoA carboxylase, biotin carboxylase subunit 	6.4.1.2 6.3.4.14	K01961	accC		
 acetyl-CoA carboxylase, biotin carboxylase subunit 	6.4.1.2 6.3.4.14	K01961	accC		
 acetyl-CoA carboxylase carboxyl transferase subunit beta 	6.4.1.2 2.1.3.15	K01963	accD		
 acetyl-CoA carboxylase carboxyl transferase subunit beta 	6.4.1.2 2.1.3.15	K01963	accD		
 acetyl-CoA carboxylase carboxyl transferase subunit beta 	6.4.1.2 2.1.3.15	K01963	accD		
 acetyl-CoA carboxylase carboxyl transferase subunit beta 	6.4.1.2 2.1.3.15	K01963	accD		
 acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit 	6.4.1.2 6.4.1.3 2.1.3.15	K18472	accD6		
 acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit 	6.4.1.2 6.4.1.3 2.1.3.15	K18472	accD6		
 acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit 	6.4.1.2 6.4.1.3 2.1.3.15	K18472	accD6		
 acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit 	6.4.1.2 6.4.1.3 2.1.3.15	K18472	accD6		
 acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit 	6.4.1.2 6.4.1.3 2.1.3.15	K18472	accD6		
 DeoR family transcriptional regulator, repressor of opine catabolism and conjugal transfer		K20271	accR		
 DeoR family transcriptional regulator, repressor of opine catabolism and conjugal transfer		K20271	accR		
 glutaryl-CoA dehydrogenase (non-decarboxylating) 	1.3.99.32	K16173	acd		
 adrenocortical dysplasia protein		K11114	ACD	TPP1	
 acetate---CoA ligase (ADP-forming) subunit alpha 	6.2.1.13	K01905	acdA		
 acetate---CoA ligase (ADP-forming) subunit alpha 	6.2.1.13	K01905	acdA		
 acetate---CoA ligase (ADP-forming) subunit alpha 	6.2.1.13	K01905	acdA		
 acetate---CoA ligase (ADP-forming) subunit alpha 	6.2.1.13	K01905	acdA		
 acetate---CoA ligase (ADP-forming) subunit beta 	6.2.1.13	K22224	acdB		
 acetate---CoA ligase (ADP-forming) subunit beta 	6.2.1.13	K22224	acdB		
 acetate---CoA ligase (ADP-forming) subunit beta 	6.2.1.13	K22224	acdB		
 acetate---CoA ligase (ADP-forming) subunit beta 	6.2.1.13	K22224	acdB		
 adiponectin		K07296	ACDC		
 adiponectin		K07296	ACDC		
 adiponectin		K07296	ACDC		
 adiponectin		K07296	ACDC		
 adiponectin		K07296	ACDC		
 adiponectin		K07296	ACDC		
 3-sulfinopropanoyl-CoA desulfinase 	3.13.1.4	K19966	acdDPN7		
 short/branched chain acyl-CoA dehydrogenase 	1.3.99.12	K11410	acdH		
 accessory cholera enterotoxin		K10952	ace		
 accessory cholera enterotoxin		K10952	ace		
 peptidyl-dipeptidase A 	3.4.15.1	K01283	ACE	CD143	
 peptidyl-dipeptidase A 	3.4.15.1	K01283	ACE	CD143	
 peptidyl-dipeptidase A 	3.4.15.1	K01283	ACE	CD143	
 peptidyl-dipeptidase A 	3.4.15.1	K01283	ACE	CD143	
 peptidyl-dipeptidase A 	3.4.15.1	K01283	ACE	CD143	
 peptidyl-dipeptidase A 	3.4.15.1	K01283	ACE	CD143	
 peptidyl-dipeptidase A 	3.4.15.1	K01283	ACE	CD143	
 fatty acid omega-hydroxy dehydrogenase 	1.1.-.-	K15403	ACE	HTH	
 hybrid polyketide synthase / nonribosomal peptide synthetase ACE1		K15394	ACE1		
 metallothionein expression activator		K09238	ACE2		
 angiotensin-converting enzyme 2 	3.4.17.23	K09708	ACE2	ACEH	
 angiotensin-converting enzyme 2 	3.4.17.23	K09708	ACE2	ACEH	
 angiotensin-converting enzyme 2 	3.4.17.23	K09708	ACE2	ACEH	
 angiotensin-converting enzyme 2 	3.4.17.23	K09708	ACE2	ACEH	
 bifunctional (S)-malyl-CoA lyase/thioesterase 	4.1.3.24 3.1.2.30	K19282	aceB		
 malate synthase 	2.3.3.9	K01638	aceB	glcB	
 malate synthase 	2.3.3.9	K01638	aceB	glcB	
 pyruvate dehydrogenase E1 component 	1.2.4.1	K00163	aceE		
 pyruvate dehydrogenase E1 component 	1.2.4.1	K00163	aceE		
 pyruvate dehydrogenase E1 component 	1.2.4.1	K00163	aceE		
 isocitrate dehydrogenase kinase/phosphatase 	2.7.11.5 3.1.3.-	K00906	aceK		
 alkaline ceramidase 	3.5.1.23	K01441	ACER1_2	ASAH3	
 alkaline ceramidase 	3.5.1.23	K01441	ACER1_2	ASAH3	
 dihydroceramidase 	3.5.1.-	K04711	ACER3	YDC1	
 acyl-lipid Delta6-acetylenase / acyl-lipid (9-3)-desaturase 	1.14.19.38 1.14.19.47	K21737	ACET6	DES6	
 accessory colonization factor AcfA		K10936	acfA		
 accessory colonization factor AcfB		K10937	acfB		
 accessory colonization factor AcfC		K10938	acfC		
 accessory colonization factor AcfD		K10939	acfD		
 c-di-GMP phosphodiesterase 	3.1.4.52	K20963	acgA		
 diguanylate cyclase 	2.7.7.65	K20954	acgB		
 acetylcholinesterase 	3.1.1.7	K01049	ACHE		
 acetylcholinesterase 	3.1.1.7	K01049	ACHE		
 acetylcholinesterase 	3.1.1.7	K01049	ACHE		
 3,6-anhydro-L-galactonate cycloisomerase 	5.5.1.25	K20549	aci		
 apoptotic chromatin condensation inducer in the nucleus		K12875	ACIN1	ACINUS	
 apoptotic chromatin condensation inducer in the nucleus		K12875	ACIN1	ACINUS	
 apoptotic chromatin condensation inducer in the nucleus		K12875	ACIN1	ACINUS	
 apoptotic chromatin condensation inducer in the nucleus		K12875	ACIN1	ACINUS	
 apoptotic chromatin condensation inducer in the nucleus		K12875	ACIN1	ACINUS	
 acetate kinase 	2.7.2.1	K00925	ackA		
 acetate kinase 	2.7.2.1	K00925	ackA		
 acetate kinase 	2.7.2.1	K00925	ackA		
 acetate kinase 	2.7.2.1	K00925	ackA		
 acetate kinase 	2.7.2.1	K00925	ackA		
 atypical chemokine receptor 1		K06574	ACKR1	DARC	
 atypical chemokine receptor 1		K06574	ACKR1	DARC	
 atypical chemokine receptor 1		K06574	ACKR1	DARC	
 atypical chemokine receptor 1		K06574	ACKR1	DARC	
 atypical chemokine receptor 2		K04187	ACKR2	CCBP2	
 atypical chemokine receptor 2		K04187	ACKR2	CCBP2	
 atypical chemokine receptor 4		K04186	ACKR4	CCRL1	
 atypical chemokine receptor 4		K04186	ACKR4	CCRL1	
 atypical chemokine receptor 4		K04186	ACKR4	CCRL1	
 thermospermine synthase 	2.5.1.79	K18787	ACL5		
 ATP-citrate lyase alpha-subunit 	2.3.3.8	K15230	aclA		
 ATP-citrate lyase alpha-subunit 	2.3.3.8	K15230	aclA		
 ATP-citrate lyase beta-subunit 	2.3.3.8	K15231	aclB		
 ATP-citrate lyase beta-subunit 	2.3.3.8	K15231	aclB		tynA
 ATP citrate (pro-S)-lyase 	2.3.3.8	K01648	ACLY		tynA
 ATP citrate (pro-S)-lyase 	2.3.3.8	K01648	ACLY		tynA
 ATP citrate (pro-S)-lyase 	2.3.3.8	K01648	ACLY		tynA
 lysozyme		K07273	acm		tynA
 acetone monooxygenase (methyl acetate-forming) 	1.14.13.226	K18371	acmA		tynA
 3-hydroxy-4-methylanthranilate adenylyltransferase 	2.7.7.97	K21284	acmA	sibE	
 methyl acetate hydrolase 	3.1.1.-	K18372	acmB		
 aminocarboxymuconate-semialdehyde decarboxylase 	4.1.1.45	K03392	ACMSD		
 aconitate hydratase 2 / 2-methylisocitrate dehydratase 	4.2.1.3 4.2.1.99	K01682	acnB		
 aconitate hydratase 2 / 2-methylisocitrate dehydratase 	4.2.1.3 4.2.1.99	K01682	acnB		
 aconitate hydratase 2 / 2-methylisocitrate dehydratase 	4.2.1.3 4.2.1.99	K01682	acnB		
